,Year,Type,County,Ag District,Ag District Code,ACRES HARVESTED,ACRES PLANTED,"ACRES PLANTED, NET","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","YIELD, MEASURED IN BU / NET PLANTED ACRE"
251,2001,"WHEAT, WINTER",BENSON,NORTH CENTRAL,20,3500.0,5000.0,5000.0,122000.0,34.9,24.4
252,2001,"WHEAT, WINTER",BOTTINEAU,NORTH CENTRAL,20,6100.0,11000.0,11000.0,223000.0,36.6,20.3
253,2001,"WHEAT, WINTER",BOWMAN,SOUTHWEST,70,2000.0,3200.0,2900.0,47000.0,23.5,16.2
254,2001,"WHEAT, WINTER",BURLEIGH,SOUTH CENTRAL,80,1400.0,4000.0,4000.0,45000.0,32.1,11.3
255,2001,"WHEAT, WINTER",CASS,EAST CENTRAL,60,1300.0,2500.0,2500.0,70000.0,53.8,28.0
256,2001,"WHEAT, WINTER",DICKEY,SOUTHEAST,90,4700.0,7500.0,7500.0,233000.0,49.6,31.1
257,2001,"WHEAT, WINTER",DIVIDE,NORTHWEST,10,1700.0,2500.0,2500.0,54000.0,31.8,21.6
258,2001,"WHEAT, WINTER",DUNN,WEST CENTRAL,40,1500.0,2200.0,2200.0,81000.0,54.0,36.8
259,2001,"WHEAT, WINTER",EMMONS,SOUTH CENTRAL,80,3600.0,11000.0,11000.0,171000.0,47.5,15.5
260,2001,"WHEAT, WINTER",FOSTER,CENTRAL,50,400.0,800.0,800.0,15000.0,37.5,18.8
261,2001,"WHEAT, WINTER",GOLDEN VALLEY,SOUTHWEST,70,400.0,700.0,600.0,11000.0,27.5,18.3
262,2001,"WHEAT, WINTER",GRAND FORKS,NORTHEAST,30,400.0,900.0,900.0,16000.0,40.0,17.8
263,2001,"WHEAT, WINTER",GRANT,SOUTH CENTRAL,80,4000.0,7000.0,7000.0,141000.0,35.3,20.1
264,2001,"WHEAT, WINTER",GRIGGS,EAST CENTRAL,60,1200.0,3500.0,3500.0,58000.0,48.3,16.6
265,2001,"WHEAT, WINTER",HETTINGER,SOUTHWEST,70,2500.0,4000.0,4000.0,75000.0,30.0,18.8
266,2001,"WHEAT, WINTER",KIDDER,CENTRAL,50,300.0,500.0,500.0,11000.0,36.7,22.0
267,2001,"WHEAT, WINTER",LA MOURE,SOUTHEAST,90,1000.0,2000.0,2000.0,44000.0,44.0,22.0
268,2001,"WHEAT, WINTER",LOGAN,SOUTHEAST,90,2900.0,5900.0,5900.0,134000.0,46.2,22.7
269,2001,"WHEAT, WINTER",MCHENRY,NORTH CENTRAL,20,600.0,1000.0,1000.0,25000.0,41.7,25.0
270,2001,"WHEAT, WINTER",MCINTOSH,SOUTHEAST,90,2200.0,5000.0,5000.0,121000.0,55.0,24.2
271,2001,"WHEAT, WINTER",MCLEAN,WEST CENTRAL,40,1900.0,2800.0,2800.0,83000.0,43.7,29.6
272,2001,"WHEAT, WINTER",MORTON,SOUTH CENTRAL,80,1600.0,3000.0,3000.0,41000.0,25.6,13.7
273,2001,"WHEAT, WINTER",MOUNTRAIL,NORTHWEST,10,1000.0,1400.0,1400.0,20000.0,20.0,14.3
274,2001,"WHEAT, WINTER",NELSON,NORTHEAST,30,600.0,1300.0,1300.0,20000.0,33.3,15.4
275,2001,"WHEAT, WINTER",OTHER (COMBINED) COUNTIES,CENTRAL,50,200.0,500.0,500.0,7000.0,35.0,14.0
276,2001,"WHEAT, WINTER",OTHER (COMBINED) COUNTIES,EAST CENTRAL,60,500.0,1500.0,1500.0,23000.0,46.0,15.3
277,2001,"WHEAT, WINTER",OTHER (COMBINED) COUNTIES,NORTHEAST,30,100.0,200.0,200.0,4000.0,40.0,20.0
278,2001,"WHEAT, WINTER",OTHER (COMBINED) COUNTIES,NORTHWEST,10,1000.0,1700.0,1700.0,21000.0,21.0,12.4
279,2001,"WHEAT, WINTER",OTHER (COMBINED) COUNTIES,SOUTHWEST,70,200.0,400.0,400.0,6000.0,30.0,15.0
280,2001,"WHEAT, WINTER",PIERCE,NORTH CENTRAL,20,300.0,500.0,500.0,11000.0,36.7,22.0
281,2001,"WHEAT, WINTER",RAMSEY,NORTHEAST,30,1700.0,4000.0,4000.0,95000.0,55.9,23.8
