Year,Max Temp,Min Temp,Avg Temp,Avg Bare Soil Temp,Avg Turf Soil Temp,Avg Wind Speed,Max Wind Speed,Total Solar Rad,Total Penman PET,Avg Penman PET,Total Rainfall,Avg Dew Point,Avg Wind Chill,Period
1991,77.046,49.544,63.2960,70.370,69.046,8.758,19.490,363.147,1.599,0.228,0.630,48.690,62.873,WEEK #35
1991,73.181,51.789,62.4850,66.546,64.814,6.801,16.031,314.231,0.889,0.127,1.920,55.434,61.255,WEEK #36
1991,57.208,35.062,46.1350,51.430,50.926,11.525,24.803,309.269,1.002,0.143,0.570,37.010,40.548,WEEK #37
1991,62.587,35.582,49.0850,52.723,50.742,8.566,17.559,303.996,0.975,0.139,0.000,39.004,47.127,WEEK #38
1991,56.326,31.684,44.0050,48.586,47.341,8.818,18.511,276.119,0.943,0.135,0.000,31.657,38.660,WEEK #39
1991,61.178,38.373,49.7750,52.504,50.103,11.924,23.434,256.061,1.370,0.196,0.070,31.633,46.144,WEEK #40
1991,56.833,27.719,42.2760,45.609,44.726,10.320,22.625,198.110,1.032,0.147,0.000,25.980,36.385,WEEK #41
1991,42.018,17.719,29.8690,39.378,39.886,9.628,19.775,142.387,0.359,0.051,0.260,26.669,23.495,WEEK #42
1991,16.209,1.889,9.0490,34.528,33.555,1.000,1.001,165.374,0.047,0.007,0.000,6.876,9.953,WEEK #43
1991,25.001,4.897,14.9490,32.056,30.074,6.014,12.320,179.448,0.152,0.022,,12.657,10.752,WEEK #44
1991,38.709,28.089,33.3990,32.712,31.940,9.375,18.157,105.652,0.156,0.022,,30.736,25.628,WEEK #45
1991,28.522,15.409,21.9660,30.528,28.729,9.849,17.493,123.397,0.184,0.026,,16.995,10.882,WEEK #46
1991,23.537,7.302,15.4190,27.819,27.024,11.849,23.561,91.203,0.157,0.022,,11.353,1.177,WEEK #47
1991,20.513,1.338,10.9260,27.328,25.107,10.847,22.288,90.180,0.183,0.026,,6.636,-2.785,WEEK #48
1991,30.479,7.790,19.1350,26.895,26.915,11.731,25.748,105.145,0.260,0.037,,14.748,6.890,WEEK #49
1991,30.948,10.094,20.5210,25.343,25.890,11.756,21.536,102.701,0.257,0.037,,16.071,9.383,WEEK #50
1991,30.684,20.092,25.3880,27.804,27.886,6.576,12.375,73.672,0.082,0.012,,21.559,16.704,WEEK #51
1991,33.550,15.743,24.6470,28.467,29.087,7.843,16.462,103.443,0.126,0.018,,21.581,16.404,WEEK #52
1992,29.900,15.128,22.5140,27.708,28.412,8.604,17.068,100.331,0.127,0.018,,18.457,11.763,WEEK #01
1992,22.653,-5.054,8.7990,22.956,23.200,12.396,23.875,125.367,0.264,0.038,,2.961,-8.283,WEEK #02
1992,22.023,4.550,13.2870,23.146,22.983,10.860,22.520,124.873,0.167,0.024,,10.103,1.310,WEEK #03
1992,39.528,26.109,32.8190,30.663,29.094,9.814,18.882,147.039,0.226,0.032,,28.241,23.899,WEEK #04
1992,29.155,12.092,20.6240,26.685,26.033,11.086,19.699,186.750,0.265,0.038,,15.300,7.390,WEEK #05
1992,25.186,13.802,19.4940,23.390,22.394,8.109,13.945,110.943,0.161,0.023,,14.837,9.063,WEEK #06
